Mar 18 16:47:08.671 INFO Ballot Leader Election componentMar 18 16:47:11.192 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 1 }
Mar 18 16:47:12.467 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 3 }
Mar 18 16:47:14.351 DEBG Newly elected leader: Ballot { n: 1, priority: 0, pid: 2 }
Mar 18 16:47:17.549 DEBG Newly elected leader: Ballot { n: 2, priority: 0, pid: 1 }
Mar 18 16:47:19.453 DEBG Newly elected leader: Ballot { n: 3, priority: 0, pid: 2 }
Mar 18 16:47:22.034 DEBG Newly elected leader: Ballot { n: 4, priority: 0, pid: 2 }
Mar 18 16:47:25.198 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:47:27.155 DEBG Newly elected leader: Ballot { n: 5, priority: 0, pid: 2 }
Mar 18 16:47:29.014 DEBG Newly elected leader: Ballot { n: 6, priority: 0, pid: 1 }
Mar 18 16:47:34.725 DEBG Newly elected leader: Ballot { n: 8, priority: 0, pid: 1 }
Mar 18 16:47:41.046 DEBG Newly elected leader: Ballot { n: 10, priority: 0, pid: 1 }
Mar 18 16:47:44.208 DEBG Newly elected leader: Ballot { n: 10, priority: 0, pid: 1 }
Mar 18 16:47:48.033 DEBG Newly elected leader: Ballot { n: 12, priority: 0, pid: 1 }
Mar 18 16:47:52.527 DEBG Newly elected leader: Ballot { n: 14, priority: 0, pid: 1 }
Mar 18 16:47:56.359 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:47:58.266 DEBG Newly elected leader: Ballot { n: 15, priority: 0, pid: 1 }
Mar 18 16:47:58.912 DEBG Newly elected leader: Ballot { n: 15, priority: 0, pid: 2 }
Mar 18 16:48:02.126 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:02.766 DEBG Newly elected leader: Ballot { n: 16, priority: 0, pid: 2 }
Mar 18 16:48:05.964 DEBG Newly elected leader: Ballot { n: 17, priority: 0, pid: 1 }
Mar 18 16:48:06.602 DEBG Newly elected leader: Ballot { n: 17, priority: 0, pid: 2 }
Mar 18 16:48:09.808 DEBG Newly elected leader: Ballot { n: 18, priority: 0, pid: 2 }
Mar 18 16:48:12.383 DEBG Newly elected leader: Ballot { n: 17, priority: 0, pid: 1 }
Mar 18 16:48:13.037 DEBG Newly elected leader: Ballot { n: 20, priority: 0, pid: 1 }
Mar 18 16:48:17.521 DEBG Newly elected leader: Ballot { n: 21, priority: 0, pid: 1 }
Mar 18 16:48:19.428 DEBG Newly elected leader: Ballot { n: 22, priority: 0, pid: 2 }
Mar 18 16:48:22.618 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:23.257 DEBG Newly elected leader: Ballot { n: 23, priority: 0, pid: 2 }
Mar 18 16:48:25.827 DEBG Newly elected leader: Ballot { n: 24, priority: 0, pid: 2 }
Mar 18 16:48:28.382 DEBG Newly elected leader: Ballot { n: 25, priority: 0, pid: 1 }
Mar 18 16:48:30.934 DEBG Newly elected leader: Ballot { n: 26, priority: 0, pid: 2 }
Mar 18 16:48:38.634 DEBG Newly elected leader: Ballot { n: 27, priority: 0, pid: 2 }
Mar 18 16:48:40.556 DEBG Newly elected leader: Ballot { n: 28, priority: 0, pid: 2 }
Mar 18 16:48:44.379 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:45.018 DEBG Newly elected leader: Ballot { n: 29, priority: 0, pid: 2 }
Mar 18 16:48:48.862 DEBG Newly elected leader: Ballot { n: 30, priority: 0, pid: 2 }
Mar 18 16:48:50.784 DEBG Newly elected leader: Ballot { n: 31, priority: 0, pid: 2 }
Mar 18 16:48:52.688 DEBG Newly elected leader: Ballot { n: 32, priority: 0, pid: 2 }
Mar 18 16:48:55.871 DEBG Newly elected leader: Ballot { n: 33, priority: 0, pid: 2 }
Mar 18 16:48:59.086 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:59.726 DEBG Newly elected leader: Ballot { n: 34, priority: 0, pid: 2 }
Mar 18 16:49:01.666 DEBG Newly elected leader: Ballot { n: 35, priority: 0, pid: 2 }
Mar 18 16:49:04.205 DEBG Newly elected leader: Ballot { n: 36, priority: 0, pid: 2 }
Mar 18 16:49:08.689 DEBG Newly elected leader: Ballot { n: 37, priority: 0, pid: 2 }
Mar 18 16:49:10.597 DEBG Newly elected leader: Ballot { n: 38, priority: 0, pid: 2 }
Mar 18 16:49:13.819 DEBG Newly elected leader: Ballot { n: 39, priority: 0, pid: 2 }
Mar 18 16:49:16.379 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:49:17.018 DEBG Newly elected leader: Ballot { n: 40, priority: 0, pid: 2 }
Mar 18 16:49:20.849 DEBG Newly elected leader: Ballot { n: 41, priority: 0, pid: 2 }
Mar 18 16:49:25.360 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:49:26.660 DEBG Newly elected leader: Ballot { n: 42, priority: 0, pid: 1 }
Mar 18 16:49:27.290 DEBG Newly elected leader: Ballot { n: 42, priority: 0, pid: 2 }
Mar 18 16:49:31.758 DEBG Newly elected leader: Ballot { n: 43, priority: 0, pid: 1 }
Mar 18 16:49:33.022 DEBG Newly elected leader: Ballot { n: 44, priority: 0, pid: 1 }
Mar 18 16:49:35.563 DEBG Newly elected leader: Ballot { n: 45, priority: 0, pid: 2 }
