Mar 21 14:37:55.230 INFO Ballot Leader Election componentMar 21 14:37:58.538 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 21 14:38:00.236 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 3 }
Mar 21 14:38:01.375 DEBG Handling promise from 2 in Prepare phase
Mar 21 14:38:01.707 DEBG Self role Leader, phase Accept. Incoming message Promise Accept from 1
Mar 21 14:38:05.391 DEBG Newly elected leader: Ballot { n: 1, priority: 0, pid: 2 }
Mar 21 14:38:08.690 DEBG Newly elected leader: Ballot { n: 2, priority: 0, pid: 3 }
Mar 21 14:38:09.831 DEBG Handling promise from 2 in Prepare phase
Mar 21 14:38:10.038 DEBG Self role Leader, phase Accept. Incoming message Promise Accept from 1
 0, priority: 0, pid: 3 }
Mar 21 14:38:01.908 WARN Got late response, round 3, current delay 100, ballot Ballot { n: 0, priority: 0, pid: 2 }
Mar 21 14:38:01.939 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:03.659 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:04.900 WARN Got late response, round 5, current delay 100, ballot Ballot { n: 1, priority: 0, pid: 2 }
Mar 21 14:38:05.387 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 2 }, true), (Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:05.400 DEBG BLE 3, New Leader elected: Ballot { n: 1, priority: 0, pid: 2 }
Mar 21 14:38:07.066 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:08.694 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 2 }, true), (Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:08.698 DEBG BLE 3, New Leader elected: Ballot { n: 2, priority: 0, pid: 3 }
Mar 21 14:38:10.149 WARN Got late response, round 8, current delay 100, ballot Ballot { n: 1, priority: 0, pid: 2 }
Mar 21 14:38:10.357 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 1 }, true), (Ballot { n: 1, priority: 0, pid: 2 }, true)]
Mar 21 14:38:11.989 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:13.714 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 2 }, true), (Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:15.402 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 2 }, true), (Ballot { n: 0, priority: 0, pid: 1 }, true)]
Mar 21 14:38:17.074 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 2 }, true), (Ballot { n: 0, priority: 0, pid: 1 }, true)]
